"time","tempDegC_conv03_1","tempDegC_conv03_2","tempDegC_conv03_3","tempDegC_conv03_4","tempDegC_conv03_5","tempDegC_conv03_6","tempDegC_conv03_7","tempDegC_conv03_8","tempDegC_conv03_9","tempDegC_conv03_10","tempDegC_conv03_11","tempDegC_conv03_12","tempDegC_conv03_13","tempDegC_conv03_14","tempDegC_conv03_15","tempDegC_conv03_16","tempDegC_conv03_17","tempDegC_conv03_18","tempDegC_conv03_19","tempDegC_conv03_20","tempDegC_conv03_21","tempDegC_conv03_22","tempDegC_conv03_23","tempDegC_conv03_24","tempDegC_conv03_25"
2009-06-04 00:00:00,16.2834075281381,16.2834075281381,16.2870676818757,16.2912570535916,16.2782682605099,16.1670500882879,16.0682305521739,15.9709866558865,15.8080307124903,15.4264239250253,14.6097013992859,13.7300252238803,12.8560421239031,11.986465732627,11.1311695765171,10.3004890411163,9.49886980719111,8.72572745085909,7.9776429345142,7.25008602438652,6.53830143661826,5.83775627209779,5.14432400104355,4.45433176920451,3.76620912091388
2009-06-04 01:00:00,16.2416920646974,16.2471838351336,16.2517632109055,16.2517632109055,16.2566064829083,16.1677676448434,16.0681810686131,15.96591064037,15.7963889720769,15.4097096371178,14.6070206867137,13.7302039852255,12.8562436880744,11.9871053550884,11.1323286820287,10.3019506642359,9.50041296887625,8.72720439307977,7.97897066273503,7.25122333848542,6.539230399912,5.83846981844278,5.14481522258211,4.45458628962213,3.76620912177494
2009-06-04 02:00:00,16.202318264371,16.2068522683717,16.2126990776799,16.2157240260835,16.2157240260835,16.1664656681873,16.0676826472661,15.9607948881369,15.7848943570688,15.3935923239859,14.6039231874783,13.730264060435,12.8564598092928,11.9877486710959,11.1334779583803,10.3034012017623,9.50194791653572,8.72867614821849,7.98029541194477,7.25235906498917,6.54015851376673,5.83918247166098,5.14530459270931,4.45483859680553,3.76620912263601
2009-06-04 03:00:00,16.1625531404813,16.1656605320877,16.1704084781982,16.1704084781982,16.1754300347625,16.1619112154466,16.0666009903537,15.9556168582799,15.7735513776477,15.3780330989578,14.6004559882495,13.730199806512,12.8566845228248,11.9883954499306,11.1346179551091,10.3048408690333,9.50347466817924,8.73014267461605,7.98161713337358,7.25349315877319,6.54108571667883,5.83989415459661,5.14579219003678,4.45508899944836,3.76620912349708
2009-06-04 04:00:00,16.121614318775,16.1256973026281,16.1256973026281,16.1300223864853,16.1346516557276,16.139099656555,16.0647937546087,15.9503486302614,15.7623617385996,15.3629958069126,14.5966611516364,13.7300075102938,12.8569121419953,11.9890452549562,11.1357491670559,10.3062698865437,9.50499324897603,8.73160393373165,7.98293577898564,7.25462557346954,6.54201194775768,5.8406048051393,5.14627809855253,4.45533774294519,3.76620912435815
2009-06-04 05:00:00,16.0834547115275,16.0865857885043,16.0905945354589,16.0905945354589,16.0948342949499,16.09998428764,16.0609915545836,15.9449194558066,15.751323476525,15.3484467763878,14.5925762855918,13.7296850635816,12.8571372998875,11.9896974713626,11.1368720308411,10.3076884770904,9.50650369086746,8.73305989021952,7.9842513015119,7.25575626175038,6.54293714758286,5.84131437393288,5.14676240191607,4.45558502463771,3.76620912521922
2009-06-04 06:00:00,16.0508929690819,16.0544348833478,16.0589329879708,16.0589329879708,16.0636903054027,16.0694373131154,16.0557007123345,15.9402876867079,15.7412743198631,15.3350104994534,14.5887442792195,13.7296270753303,12.857661977431,11.9905897146002,11.1381720309414,10.3092406099198,9.50811766486053,8.7345972097629,7.98563099148182,7.2569374804963,6.54390189405883,5.84205440304991,5.14726976868473,4.45585058688908,3.76622806392233
2009-06-04 07:00:00,16.0355843766725,16.0402388134238,16.0402388134238,16.0451692344055,16.0504699123561,16.0555896119982,16.0535751819666,15.9392021892136,15.734418577333,15.3243788939081,14.5865319636038,13.7308723523971,12.8592885080249,11.9923482334734,11.1401368823461,10.3113053250506,9.51012966551907,8.73644475254377,7.98725274542773,7.25830753524773,6.54501373022923,5.84290858711732,5.1478656149125,4.45618696881354,3.76631611794244
2009-06-04 08:00:00,16.0423569876295,16.0467714434863,16.0519317415296,16.0560959237069,16.0560959237069,16.0604443617328,16.0575310593721,15.9431105053462,15.7318855759846,15.3174131831608,14.5866562196029,13.7339587951971,12.8624306705919,11.995297803864,11.143020720459,10.314080725496,9.51269401815046,8.73872279428267,7.98921035053713,7.25993958926783,6.54632976137594,5.8439216021477,5.14858531010751,4.45662357592201,3.76649986054372
2009-06-04 09:00:00,16.0759815545478,16.0805672327142,16.0805672327142,16.0854248180796,16.087795904512,16.087795904512,16.0683614649175,15.9519925828408,15.733615787277,15.314051980701,14.5891130761328,13.7388671436018,12.8670693151821,11.9994266597588,11.1468163628598,10.3175620437137,9.51580753387723,8.74142930614462,7.99150262847301,7.26183306958063,6.5478498463712,5.84509370403094,5.14942980646376,4.45716248641925,3.76677905664932
